round,level,mons,gap,ai_tier,trial,result,turns,frames,player_species,enemy_species,ace_moves
2,18,6,-2,0,2,timeout,74,39993,WARTORTLE:16 RATTATA:8 DITTO:8,ODDISH ODDISH PIKACHU SANDSHREW CUBONE BULBASAUR,39 145 55 44
2,18,6,2,0,0,loss,20,8918,IVYSAUR:20 GOLDEEN:12 SEEL:12,CUBONE EKANS PORYGON KOFFING GRIMER OMANYTE,45 73 22 51
2,18,6,2,0,1,loss,12,6284,IVYSAUR:20 RATTATA:12 HORSEA:12,SEEL HORSEA HITMONCHAN PIDGEY PIDGEY DRATINI,45 73 22 51
2,18,6,2,0,2,timeout,19,39981,IVYSAUR:20 DITTO:12 KRABBY:12,BELLSPROUT ZUBAT NIDORAN_F GRIMER CUBONE PORYGON,45 73 22 51
2,18,6,6,0,0,win,10,6670,CHARMELEON:24 ODDISH:16 POLIWAG:16,BELLSPROUT GRIMER DIGLETT SEEL HORSEA LICKITUNG,43 99 7 44
2,18,6,6,0,1,loss,22,11740,IVYSAUR:24 ODDISH:16 KOFFING:16,SEEL ODDISH PONYTA KRABBY CUBONE MAGIKARP,73 22 51 77
2,18,6,6,0,2,loss,35,16326,CHARMELEON:24 KOFFING:16 BEEDRILL:16,HORSEA BUTTERFREE SQUIRTLE RATTATA DITTO TENTACOOL,43 99 7 44
2,18,6,12,0,0,win,7,4800,CHARMELEON:30 RATICATE:22 FEAROW:22,EKANS EKANS DIGLETT KOFFING POLIWAG VENONAT,43 99 7 44
2,18,6,12,0,1,win,12,5570,WARTORTLE:30 RATICATE:22 DITTO:22,JIGGLYPUFF BEEDRILL BULBASAUR PSYDUCK SPEAROW LICKITUNG,55 44 61 34
2,18,6,12,0,2,win,10,6670,CHARMELEON:30 PIDGEOTTO:22 GRIMER:22,ZUBAT RATTATA OMANYTE SANDSHREW KRABBY DROWZEE,43 99 7 44
5,37,1,-2,2,0,win,4,1750,WARTORTLE:35 DITTO:27 MANKEY:27,GROWLITHE,61 34 110 127
5,37,1,-2,2,1,win,7,3152,WARTORTLE:35 MANKEY:27 SEEL:27,MAROWAK,61 34 110 127
5,37,1,-2,2,2,win,4,2800,VENUSAUR:35 GOLBAT:27 GLOOM:27,KOFFING,51 77 79 75
5,37,1,2,2,0,win,4,2330,VENUSAUR:39 GOLDEEN:31 PIDGEOTTO:31,GOLDUCK,79 75 124 74
5,37,1,2,2,1,win,2,1110,CHARIZARD:39 MAGNETON:31 WEEPINBELL:31,KOFFING,7 44 163 17
5,37,1,2,2,2,loss,5,3242,BLASTOISE:39 RATICATE:31 PARASECT:31,MAGNETON,61 34 110 127
5,37,1,6,2,0,win,2,730,VENUSAUR:43 SEADRA:35 GOLDUCK:35,PARASECT,75 124 74 34
5,37,1,6,2,1,win,2,890,CHARIZARD:43 SANDSLASH:35 FEAROW:35,KOFFING,44 163 17 53
5,37,1,6,2,2,win,1,450,CHARIZARD:43 KINGLER:35 KABUTO:35,BUTTERFREE,44 163 17 53
5,37,1,12,2,0,win,5,3732,CHARIZARD:49 FARFETCHD:41 KINGLER:41,SEADRA,163 17 53 21
5,37,1,12,2,1,win,2,1080,CHARIZARD:49 MAGNETON:41 MUK:41,MAGNETON,163 17 53 21
5,37,1,12,2,2,win,2,710,VENUSAUR:49 KABUTOPS:41 PRIMEAPE:41,PARASECT,75 124 74 34
5,37,3,-2,2,0,loss,8,4148,CHARMELEON:35 WEEPINBELL:27 MAGNEMITE:27,JIGGLYPUFF DRAGONAIR HITMONCHAN,99 7 44 163
5,37,3,-2,2,1,loss,5,3072,WARTORTLE:35 ARBOK:27 PARASECT:27,PARASECT GYARADOS WARTORTLE,61 34 110 127
5,37,3,-2,2,2,loss,12,4968,WARTORTLE:35 DITTO:27 GLOOM:27,GOLDUCK PIKACHU CLEFAIRY,61 34 110 127
5,37,3,2,2,0,loss,12,7814,VENUSAUR:39 PSYDUCK:31 BEEDRILL:31,MAGNETON TENTACRUEL VULPIX,79 75 124 74
5,37,3,2,2,1,loss,9,5688,VENUSAUR:39 HORSEA:31 SANDSLASH:31,SANDSLASH WARTORTLE PORYGON,79 75 124 74
5,37,3,2,2,2,loss,17,7364,BLASTOISE:39 FEAROW:31 FARFETCHD:31,GOLBAT OMANYTE DUGTRIO,61 34 110 127
5,37,3,6,2,0,loss,11,6138,CHARIZARD:43 DEWGONG:35 GOLDUCK:35,POLIWHIRL OMANYTE GYARADOS,44 163 17 53
5,37,3,6,2,1,loss,10,4848,BLASTOISE:43 DITTO:35 ARBOK:35,MAROWAK HYPNO SHELLDER,34 110 127 130
5,37,3,6,2,2,loss,9,5474,VENUSAUR:43 ARCANINE:35 KABUTO:35,ELECTRODE HITMONCHAN PONYTA,75 124 74 34
5,37,3,12,2,0,win,3,2032,CHARIZARD:49 VILEPLUME:41 GOLDUCK:41,BUTTERFREE GRAVELER HITMONCHAN,163 17 53 21
5,37,3,12,2,1,win,8,4102,VENUSAUR:49 WEEZING:41 MAROWAK:41,ELECTRODE TANGELA HITMONCHAN,75 124 74 34
5,37,3,12,2,2,win,10,4252,VENUSAUR:49 FEAROW:41 ARCANINE:41,MAROWAK CLEFAIRY TENTACRUEL,75 124 74 34
5,37,6,-2,2,0,loss,6,2972,CHARMELEON:35 POLIWHIRL:27 BUTTERFREE:27,KINGLER PERSIAN NIDORINO RHYHORN ZAPDOS ELECTRODE,99 7 44 163
5,37,6,-2,2,1,loss,5,3542,WARTORTLE:35 MAGNEMITE:27 BUTTERFREE:27,SANDSLASH PONYTA CLEFAIRY JYNX SNORLAX JIGGLYPUFF,61 34 110 127
5,37,6,-2,2,2,loss,4,2282,CHARMELEON:35 WEEPINBELL:27 PIDGEOTTO:27,SEADRA VENUSAUR SHELLDER MAGMAR ZAPDOS FARFETCHD,99 7 44 163
5,37,6,2,2,0,loss,9,5274,VENUSAUR:39 RATICATE:31 PSYDUCK:31,GLOOM WARTORTLE WARTORTLE PINSIR SNORLAX PARASECT,79 75 124 74
5,37,6,2,2,1,loss,9,5378,VENUSAUR:39 DITTO:31 PRIMEAPE:31,GRIMER WARTORTLE VENOMOTH MR_MIME ZAPDOS GOLDUCK,79 75 124 74
5,37,6,2,2,2,loss,12,6632,CHARIZARD:39 SEEL:31 POLIWHIRL:31,SEEL PIKACHU PORYGON HITMONLEE SNORLAX GOLBAT,7 44 163 17
5,37,6,6,2,0,loss,12,6344,BLASTOISE:43 DITTO:35 PIDGEOTTO:35,JIGGLYPUFF DRAGONAIR GYARADOS MOLTRES EXEGGCUTE MAGNETON,34 110 127 130
5,37,6,6,2,1,loss,10,6380,CHARIZARD:43 PARASECT:35 DITTO:35,PARASECT GRAVELER EEVEE ELECTABUZZ STARYU ARBOK,44 163 17 53
5,37,6,6,2,2,loss,14,7644,VENUSAUR:43 FEAROW:35 GRIMER:35,SANDSLASH EEVEE VENOMOTH ARTICUNO STARYU KABUTO,75 124 74 34
5,37,6,12,2,0,loss,19,10252,BLASTOISE:49 DITTO:41 FEAROW:41,PARASECT LICKITUNG PONYTA RHYHORN TAUROS KOFFING,110 127 130 58
5,37,6,12,2,1,loss,12,7216,VENUSAUR:49 FARFETCHD:41 WEEZING:41,BUTTERFREE CLEFAIRY TANGELA KADABRA STARYU FARFETCHD,75 124 74 34
5,37,6,12,2,2,loss,17,9852,VENUSAUR:49 SEADRA:41 FARFETCHD:41,BEEDRILL HITMONCHAN DUGTRIO RHYHORN STARYU FARFETCHD,75 124 74 34
8,49,1,-2,3,0,loss,8,3802,BLASTOISE:47 KINGLER:39 WIGGLYTUFF:39,WIGGLYTUFF,110 127 130 58
8,49,1,-2,3,1,loss,8,3312,BLASTOISE:47 POLIWRATH:39 ELECTRODE:39,POLIWRATH,110 127 130 58
8,49,1,-2,3,2,win,2,1120,CHARIZARD:47 KINGLER:39 ARBOK:39,RATICATE,44 163 17 53
8,49,1,2,3,0,win,5,2236,VENUSAUR:51 ARCANINE:43 RATICATE:43,MUK,75 124 74 34
8,49,1,2,3,1,win,3,1430,CHARIZARD:51 KINGLER:43 WEEZING:43,MUK,163 17 53 21
8,49,1,2,3,2,win,2,910,CHARIZARD:51 SEAKING:43 SANDSLASH:43,MAROWAK,163 17 53 21
8,49,1,6,3,0,win,3,1750,BLASTOISE:55 VILEPLUME:47 KABUTOPS:47,RATICATE,127 130 58 56
8,49,1,6,3,1,loss,7,4962,CHARIZARD:55 SEADRA:47 MAROWAK:47,GOLDUCK,163 17 53 21
8,49,1,6,3,2,win,4,2170,CHARIZARD:55 BEEDRILL:47 MAROWAK:47,SEADRA,163 17 53 21
8,49,1,12,3,0,win,5,3706,VENUSAUR:61 MAGNETON:53 MAGNETON:53,BUTTERFREE,124 74 34 76
8,49,1,12,3,1,win,13,5586,BLASTOISE:61 ARCANINE:53 GOLDUCK:53,DEWGONG,127 130 58 56
8,49,1,12,3,2,win,4,2490,CHARIZARD:61 PARASECT:53 VILEPLUME:53,GOLDUCK,17 53 21 83
8,49,3,-2,3,0,loss,5,2802,CHARIZARD:47 BUTTERFREE:39 FARFETCHD:39,KINGLER MACHAMP MOLTRES,44 163 17 53
8,49,3,-2,3,1,loss,43,17914,CHARIZARD:47 POLIWRATH:39 SANDSLASH:39,KINGLER VAPOREON JYNX,44 163 17 53
8,49,3,-2,3,2,win,12,7724,CHARIZARD:47 WIGGLYTUFF:39 SEADRA:39,ARBOK PORYGON GENGAR,44 163 17 53
8,49,3,2,3,0,loss,9,5508,CHARIZARD:51 GOLBAT:43 KABUTOPS:43,SEAKING DUGTRIO MR_MIME,163 17 53 21
8,49,3,2,3,1,loss,8,5118,BLASTOISE:51 ELECTRODE:43 DITTO:43,BUTTERFREE HYPNO ELECTABUZZ,110 127 130 58
8,49,3,2,3,2,loss,12,6438,VENUSAUR:51 VILEPLUME:43 ELECTRODE:43,BEEDRILL PORYGON GENGAR,75 124 74 34
8,49,3,6,3,0,loss,12,8018,BLASTOISE:55 MAGNETON:47 GOLDUCK:47,MUK HYPNO SCYTHER,127 130 58 56
8,49,3,6,3,1,loss,6,3718,VENUSAUR:55 MAROWAK:47 FEAROW:47,MAROWAK SLOWBRO MOLTRES,124 74 34 76
8,49,3,6,3,2,win,5,4642,BLASTOISE:55 ELECTRODE:47 DEWGONG:47,MAROWAK HITMONCHAN GENGAR,127 130 58 56
8,49,3,12,3,0,loss,6,4988,BLASTOISE:61 WEEZING:53 WEEZING:53,ARCANINE NIDOKING AERODACTYL,127 130 58 56
8,49,3,12,3,1,loss,11,6784,BLASTOISE:61 FARFETCHD:53 ELECTRODE:53,FARFETCHD DRAGONAIR KANGASKHAN,127 130 58 56
8,49,3,12,3,2,loss,11,6142,BLASTOISE:61 GOLDUCK:53 ELECTRODE:53,PARASECT DUGTRIO AERODACTYL,127 130 58 56
8,49,6,-2,3,0,loss,5,3392,CHARIZARD:47 FARFETCHD:39 PRIMEAPE:39,GOLDUCK FLAREON AERODACTYL TAUROS SNORLAX TAUROS,44 163 17 53
8,49,6,-2,3,1,loss,7,3322,BLASTOISE:47 GOLBAT:39 BEEDRILL:39,POLIWRATH HYPNO MR_MIME TAUROS ZAPDOS STARMIE,110 127 130 58
8,49,6,-2,3,2,loss,8,3182,VENUSAUR:47 GOLDUCK:39 RATICATE:39,KINGLER CLOYSTER AERODACTYL TAUROS SNORLAX TAUROS,75 124 74 34
8,49,6,2,3,0,loss,7,3102,BLASTOISE:51 RATICATE:43 SANDSLASH:43,FEAROW TANGELA AERODACTYL TAUROS STARMIE SNORLAX,110 127 130 58
8,49,6,2,3,1,loss,7,3848,VENUSAUR:51 PARASECT:43 DITTO:43,ARBOK CLOYSTER SCYTHER STARMIE ZAPDOS ZAPDOS,75 124 74 34
8,49,6,2,3,2,loss,4,2872,BLASTOISE:51 RATICATE:43 BUTTERFREE:43,VICTREEBEL TANGELA KANGASKHAN ZAPDOS STARMIE TAUROS,110 127 130 58
8,49,6,6,3,0,loss,8,5192,VENUSAUR:55 KINGLER:47 KINGLER:47,PARASECT DUGTRIO MOLTRES SNORLAX ZAPDOS ZAPDOS,124 74 34 76
8,49,6,6,3,1,loss,8,6058,VENUSAUR:55 SEADRA:47 GOLBAT:47,MAGNETON DUGTRIO KANGASKHAN EXEGGUTOR STARMIE STARMIE,124 74 34 76
8,49,6,6,3,2,loss,11,7224,VENUSAUR:55 KABUTOPS:47 PRIMEAPE:47,MUK PERSIAN CHANSEY ZAPDOS STARMIE SNORLAX,124 74 34 76
8,49,6,12,3,0,loss,9,5118,VENUSAUR:61 MUK:53 MAGNETON:53,PARASECT NINETALES RHYDON ZAPDOS STARMIE TAUROS,124 74 34 76
8,49,6,12,3,1,loss,11,7900,CHARIZARD:61 PARASECT:53 KINGLER:53,PRIMEAPE NINETALES ALAKAZAM SNORLAX TAUROS ZAPDOS,17 53 21 83
8,49,6,12,3,2,loss,16,9064,VENUSAUR:61 VILEPLUME:53 SANDSLASH:53,MAROWAK LICKITUNG GENGAR EXEGGUTOR ZAPDOS TAUROS,124 74 34 76
